user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
1235161,1,40,2,세미하드치즈,"5,500원",2.0,10,2
1849447,1,40,1,후레쉬치즈,"6,900원",2.0,1,1
3441884,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
5950154,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
965497,1,30,7,후레쉬치즈,"3,990원",1.0,1,1
2447794,1,30,1,후레쉬치즈,"6,800원",1.0,1,1
3138304,0,30,1,후레쉬치즈,"3,870원",1.0,1,1
3040556,0,20,6,후레쉬치즈,"8,400원",,1,1
4740829,1,40,1,하드치즈,"7,900원",2.0,5,3
5625434,1,30,1,하드치즈,"7,200원",1.0,10,3
2953085,0,40,2,후레쉬치즈,"3,870원",2.0,1,1
792503,0,50,5,후레쉬치즈,"14,900원",3.0,11,1
428172,1,40,1,후레쉬치즈,"3,990원",2.0,1,1
3111305,1,40,1,세미하드치즈,"5,500원",2.0,10,2
564901,1,40,1,세미하드치즈,"5,500원",2.0,10,2
851793,0,40,2,후레쉬치즈,"7,900원",2.0,11,1
5964256,1,30,1,세미하드치즈,"6,800원",1.0,9,2
3567693,0,40,3,세미하드,"4,900원",2.0,4,2
2256597,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
3252607,1,20,1,후레쉬치즈,"14,900원",,11,1
4826262,1,40,1,후레쉬치즈,"6,860원",2.0,3,1
3555759,1,40,1,후레쉬치즈,"4,600원",2.0,1,1
3640761,1,50,1,후레쉬치즈,"3,990원",3.0,1,1
1603320,0,70,5,후레쉬치즈,"14,900원",,11,1
4629312,1,40,1,후레쉬치즈,"6,800원",2.0,1,1
1218378,1,30,2,후레쉬치즈,"7,900원",1.0,11,1
4213612,1,40,1,후레쉬치즈,"6,800원",2.0,1,1
2763663,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
1721614,1,50,12,세미하드,"4,900원",3.0,1,2
3936399,1,40,1,하드치즈,"7,200원",2.0,10,3
5732335,0,20,1,후레쉬치즈,"14,900원",,11,1
860280,1,50,20,소프트치즈,"8,400원",3.0,8,4
5880309,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
1896823,1,40,1,후레쉬치즈,"3,870원",2.0,1,1
5961952,1,40,1,후레쉬치즈,"6,240원",2.0,1,1
182767,0,40,1,후레쉬치즈,"6,800원",2.0,1,1
5864672,0,30,1,세미하드치즈,"5,500원",1.0,10,2
5549183,1,30,1,후레쉬치즈,"4,600원",1.0,1,1
6120146,1,30,1,후레쉬치즈,"3,900원",1.0,1,1
3541575,0,30,1,소프트치즈,"4,165원",1.0,8,4
999089,1,30,1,후레쉬치즈,"9,600원",1.0,1,1
4038773,0,40,1,후레쉬치즈,"3,870원",2.0,1,1
4479956,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
2966576,0,40,1,후레쉬치즈,"4,600원",2.0,1,1
3430468,1,40,2,후레쉬치즈,"3,870원",2.0,1,1
425652,1,50,5,후레쉬치즈,"14,900원",3.0,11,1
1876615,1,40,1,후레쉬치즈,"6,800원",2.0,1,1
